Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
Michael Mariot,PHI,2016,5.961945081,-0.299991041,5.191287596,0.348565966,4.596306649,0.06896552,0.27586207,3.88,88.40901973,Michael Mariot,10835,592527
Jake McGee,COL,2016,5.292546262,-0.304823339,4.772990858,-1.002070069,4.220721606,0.08783784,0.37837838,6.33,89.79002568,Jake McGee,7550,459429
Kyle Lohse,TEX,2016,9.682276895,-0.310272902,8.036906666,-1.095963955,7.055049896,0.15,0.45,10.25,92.272052,Kyle Lohse,739,346798
José De León,LAD,2016,6.970089795,-0.312439501,5.204067188,-0.859640002,4.703279351,0.09090909,0.30909091,6.61,89.55893555,Jose De Leon,15463,592254
Cody Reed,CIN,2016,6.062643988,-0.315416694,4.292451843,-2.108942032,4.318834716,0.08536585,0.37804878,5.86,89.95817057,Cody Reed,15232,642003
Cory Rasmus,LAA,2016,5.943856698,-0.315910839,6.604246896,-0.21651201,5.817907507,0.0375,0.275,5.17,89.49285156,Cory Rasmus,2413,474284
José Berríos,MIN,2016,6.197988821,-0.317561865,5.63663665,-2.349037886,5.356619863,0.06770833,0.34895833,6.25,90.33707121,Jose Berrios,14168,621244
Joe Smith,- - -,2016,4.992714635,-0.319488794,4.305976611,-0.29636205,4.023223836,0.06535948,0.39215686,5.6,91.42377425,Joe Smith,3281,501925
Pat Light,- - -,2016,7.406561033,-0.321985066,5.785601458,-0.509888035,5.503030518,0.05172414,0.34482759,5.38,89.76196507,Pat Light,13427,572990
Jared Hughes,PIT,2016,4.680268379,-0.323787212,4.769257781,-0.503151953,4.46024932,0.04591837,0.33673469,3.91,88.02593494,Jared Hughes,9325,453172
Joel Peralta,- - -,2016,6.000219251,-0.324855059,4.15719574,0.102731995,3.340911104,0.06493506,0.31168831,4.31,87.69059733,Joel Peralta,2332,407908
Jeff Manship,CLE,2016,5.108099593,-0.329586238,4.814635675,-0.046194006,4.525185746,0.06870229,0.30534351,4.71,87.78513371,Jeff Manship,6865,453249
Brad Boxberger,TBR,2016,5.530122899,-0.33878538,5.707066227,-0.421205997,5.324878447,0.02816901,0.30985915,3.61,87.75255144,Brad Boxberger,10133,502202
Chasen Shreve,NYY,2016,5.752622796,-0.342305094,4.418125716,0.515731931,3.810101305,0.08602151,0.38709677,4.55,88.42879512,Chasen Shreve,10855,592741
Anthony Swarzak,NYY,2016,6.114300675,-0.343163371,3.854999568,-0.958620012,3.21075953,0.09411765,0.29411765,3.09,87.55371675,Anthony Swarzak,7466,461872
Rafael Montero,NYM,2016,6.304456308,-0.344056174,5.145551317,-0.269078022,5.4016959,0.05263158,0.31578947,6.91,86.58863209,Rafael Montero,12760,606160
Brett Anderson,LAD,2016,7.911267702,-0.344332717,4.939644001,-0.841974035,5.0971387,0.05660377,0.28301887,7.13,87.69755789,Brett Anderson,8223,474463
Noé Ramirez,BOS,2016,7.146565371,-0.344929338,5.068409795,-0.317954004,4.223287747,0.11111111,0.30555556,7.55,88.28491889,Noe Ramirez,12800,598287
Chris Withrow,ATL,2016,4.898773245,-0.350088358,4.986108595,0.517695963,4.653303379,0.04504505,0.25225225,3.72,84.98540632,Chris Withrow,7161,519437
Jake Thompson,PHI,2016,6.165194281,-0.351167798,5.636032334,-0.777463913,5.678993539,0.05780347,0.3699422,5.67,89.62097609,Jake Thompson,14371,622097
Mike Mayers,STL,2016,11.95906583,-0.354470901,6.832663643,-0.622980013,5.634374586,0.10344828,0.27586207,11.09,86.30999966,Mike Mayers,15451,594577
Zac Curtis,ARI,2016,7.196563087,-0.355333894,7.370204155,-0.72764802,6.438840126,0.02439024,0.41463415,5.38,89.66539039,Zac Curtis,16684,657205
Chris Narveson,MIA,2016,7.466565986,-0.358346969,5.5847728,-0.444871992,4.482927701,0.10344828,0.34482759,5.9,88.98876111,Chris Narveson,2141,429780
Andrew Faulkner,TEX,2016,10.49656687,-0.359621108,7.894486028,-0.144414037,7.129315913,0.11111111,0.33333333,8.86,87.80107234,Andrew Faulkner,12982,605226
Mark Lowe,DET,2016,5.660074933,-0.377021879,4.759978279,-0.490013987,4.069546202,0.08496732,0.41176471,4.97,90.95887144,Mark Lowe,7416,450275
Braden Shipley,ARI,2016,5.760846168,-0.378988624,4.993006969,0.026632056,5.201908864,0.07264957,0.40598291,6.83,90.11182178,Braden Shipley,15158,640463
David Huff,LAA,2016,12.89654789,-0.381554484,5.020358822,-0.647484004,5.049791433,0.07407407,0.33333333,5.9,87.64676608,David Huff,4257,453307
Danny Farquhar,TBR,2016,5.099390853,-0.385422677,3.570183719,0.297500014,3.206025532,0.07526882,0.40860215,4.16,87.86082375,Danny Farquhar,8501,543144
Edwin Escobar,ARI,2016,5.935292403,-0.391113028,5.99018918,-0.41039601,5.182576517,0.09638554,0.38554217,6.57,89.16008391,Edwin Escobar,10337,546276
Greg Mahle,LAA,2016,6.419289925,-0.393249542,5.12739154,0.27055794,4.761988596,0.08333333,0.35,5.52,88.23638809,Greg Mahle,16877,657670
Ben Heller,NYY,2016,9.575132687,-0.393466651,6.859019312,-0.847176015,4.992846382,0.10714286,0.32142857,6.91,85.12282017,Ben Heller,15100,621294
Dominic Leone,ARI,2016,6.257671494,-0.412088424,4.984724286,-0.758749962,4.40799674,0.08421053,0.32631579,5.45,88.06743421,Dominic Leone,13763,608678
