Name,AAV,catcher,year,Age,stayed_same_team,G,PA,HR,R,RBI,AVG,OBP,SLG,GDP,H,OPS,PlayerId,G_2,PA_2,HR_2,R_2,RBI_2,AVG_2,OBP_2,SLG_2,GDP_2,H_2,OPS_2,SB_success,SB_success_2
Nick Castellanos,19.00207483,FALSE,2020,28,FALSE,151,664,27,100,73,0.289430894,0.337349397,0.525203252,12,178,0.862552649,11737,157,678,23,88,89,0.298387096,0.3539823,0.5,8,185,0.8539823,50,66.66666667
Colby Rasmus,19.45449905,FALSE,2016,29,TRUE,137,485,25,67,61,0.238425925,0.314049586,0.474537037,6,103,0.788586623,9893,104,376,18,45,40,0.225433526,0.287234042,0.447976878,1,78,0.73521092,66.66666667,100
Matt Wieters,19.45449905,TRUE,2016,30,TRUE,75,282,8,24,25,0.26744186,0.319148936,0.42248062,4,69,0.741629556,4298,26,112,5,13,18,0.307692307,0.339285714,0.5,1,32,0.839285714,0,0
AJ Pollock,17.83099912,FALSE,2019,31,FALSE,113,460,21,61,65,0.256658595,0.315904139,0.484261501,6,106,0.80016564,9256,112,466,14,73,49,0.265882352,0.330472103,0.470588235,8,113,0.801060338,86.66666667,76.92307692
Andrew Benintendi,14.91348494,FALSE,2023,28,FALSE,126,521,5,54,51,0.303687635,0.373076923,0.399132321,7,140,0.772209244,17901,134,538,17,63,73,0.275862068,0.324022346,0.442190669,2,136,0.766213015,72.72727273,47.05882353
Chris Taylor,16.45698762,FALSE,2022,31,TRUE,148,582,20,92,73,0.254437869,0.344234079,0.437869822,5,129,0.782103901,13757,124,414,12,52,52,0.262295081,0.332524271,0.461748633,6,96,0.794272904,92.85714286,100
Jeimer Candelario,15,FALSE,2024,30,FALSE,140,576,22,77,70,0.251485148,0.335652173,0.471287128,11,127,0.806939301,13621,124,467,13,49,50,0.216783216,0.271948608,0.361305361,9,93,0.633253969,88.88888889,0
Nelson Cruz,16.45698762,FALSE,2022,41,FALSE,140,584,32,79,86,0.265107212,0.334482758,0.497076023,14,136,0.831558781,2434,120,521,41,81,108,0.310572687,0.392307692,0.638766519,14,141,1.031074211,100,0
Mitch Haniger,14.41636877,FALSE,2023,32,FALSE,57,247,11,31,34,0.245535714,0.307692307,0.428571428,7,55,0.736263735,14274,157,691,39,110,100,0.253225806,0.31837916,0.48548387,12,157,0.80386303,0,100
Nelson Cruz,16.99888583,FALSE,2019,38,FALSE,144,591,37,70,97,0.256262042,0.34179357,0.50867052,15,133,0.85046409,2434,155,645,39,91,119,0.287769784,0.375193798,0.548561151,15,160,0.923754949,100,50
