Name,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
"Hanser Alberto",2022,LAD,KCR,29,4.6,6,385,0,103,255,2,25,24,3,0.015686274,0.101960784,0.269709543,0.290836653,0.402489626,1,1,65,0.693326279,11902,593643,139,550,12,62,51,4,0.029090909,0.09090909,0.305343511,0.329067641,0.421755725,9,4,160,0.750823366,139,550,12,62,51,4,0.029090909,0.09090909,0.305343511,0.329067641,0.421755725,9,4,160,0.750823366
"Freddie Freeman",2022,LAD,ATL,32,11.9,12,1565,0,159,695,31,120,83,8,0.122302158,0.153956834,0.3,0.392805755,0.503333333,11,3,180,0.896139088,5361,518692,158,692,38,113,121,6,0.125722543,0.183526011,0.29480737,0.388728323,0.549413735,17,3,176,0.938142058,158,692,38,113,121,6,0.125722543,0.183526011,0.29480737,0.388728323,0.549413735,17,3,176,0.938142058
"Jake Lamb",2022,LAD,TOR,31,-0.6,8,664,0,55,170,7,25,19,0,0.129411764,0.3,0.194444444,0.305882352,0.368055555,4,0,28,0.673937907,13329,571875,78,226,6,26,30,1,0.14159292,0.243362831,0.192513368,0.323008849,0.352941176,4,0,36,0.675950025,78,226,6,26,30,1,0.14159292,0.243362831,0.192513368,0.323008849,0.352941176,4,0,36,0.675950025
"Chris Taylor",2022,LAD,LAD,31,5.9,8,743,1,148,582,20,92,73,13,0.108247422,0.28694158,0.254437869,0.344234079,0.437869822,5,1,129,0.782103901,13757,621035,124,414,12,52,52,8,0.08937198,0.277777777,0.262295081,0.332524271,0.461748633,6,0,96,0.794272904,124,414,12,52,52,8,0.08937198,0.277777777,0.262295081,0.332524271,0.461748633,6,0,96,0.794272904
"Jorge Soler",2022,MIA,ATL,30,3.6,8,661,0,149,602,27,74,70,0,0.111295681,0.235880398,0.222868217,0.316498316,0.432170542,12,0,115,0.748668858,14221,624585,162,679,48,95,117,3,0.107511045,0.26215022,0.264855687,0.353550295,0.568760611,16,1,156,0.922310906,162,679,48,95,117,3,0.107511045,0.26215022,0.264855687,0.353550295,0.568760611,16,1,156,0.922310906
"Delino DeShields",2022,MIA,CIN,29,1.5,7,601,0,25,58,1,4,6,2,0.155172413,0.189655172,0.255319148,0.375,0.425531914,0,1,12,0.800531914,11379,592261,118,408,4,42,32,24,0.093137254,0.245098039,0.249299719,0.325,0.347338935,8,6,89,0.672338935,118,408,4,42,32,24,0.093137254,0.245098039,0.249299719,0.325,0.347338935,8,6,89,0.672338935
"Avisail Garcia",2022,MIA,MIL,31,5,10,951,0,135,515,29,68,86,8,0.073786407,0.234951456,0.262472885,0.330097087,0.490238611,12,4,121,0.820335698,5760,541645,125,530,20,61,72,10,0.058490566,0.235849056,0.282208588,0.332075471,0.464212678,15,4,138,0.796288149,125,530,20,61,72,10,0.058490566,0.235849056,0.282208588,0.332075471,0.464212678,15,4,138,0.796288149
"Andrew McCutchen",2022,MIL,PHI,35,3,13,1761,0,144,574,27,78,80,6,0.141114982,0.229965156,0.221991701,0.334494773,0.443983402,10,1,107,0.778478175,9847,457705,59,262,10,45,29,2,0.164122137,0.209923664,0.255707762,0.377862595,0.456621004,1,1,56,0.834483599,59,262,10,45,29,2,0.164122137,0.209923664,0.255707762,0.377862595,0.456621004,1,1,56,0.834483599
"Pedro Severino",2022,MIL,BAL,28,3,7,362,0,113,419,11,32,46,0,0.081145584,0.260143198,0.248021108,0.307875894,0.382585751,9,0,94,0.690461645,14523,600474,96,341,13,37,44,3,0.085043988,0.214076246,0.249180327,0.320588235,0.419672131,5,1,76,0.740260366,96,341,13,37,44,3,0.085043988,0.214076246,0.249180327,0.320588235,0.419672131,5,1,76,0.740260366
"Carlos Correa",2022,MIN,HOU,27,12.6,7,752,0,148,640,26,104,92,0,0.1171875,0.18125,0.279279279,0.365625,0.484684684,16,0,155,0.850309684,14162,621043,75,321,21,42,59,1,0.109034267,0.233644859,0.278571428,0.358255451,0.567857142,8,0,78,0.926112593,75,321,21,42,59,1,0.109034267,0.233644859,0.278571428,0.358255451,0.567857142,8,0,78,0.926112593
"Tim Beckham",2022,MIN,CHW,32,0.4,6,472,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Travis Jankowski",2022,NYM,PHI,31,0.1,7,426,0,76,157,1,24,10,5,0.140127388,0.184713375,0.251908396,0.363636363,0.351145038,1,0,33,0.714781401,13768,608671,25,24,0,4,0,2,0.083333333,0.166666666,0.181818181,0.25,0.181818181,0,2,4,0.431818181,25,24,0,4,0,2,0.083333333,0.166666666,0.181818181,0.25,0.181818181,0,2,4,0.431818181
"Eduardo Escobar",2022,NYM,MIL,33,5.4,11,1128,0,146,599,28,77,90,1,0.080133555,0.207011686,0.253187613,0.313856427,0.471766848,3,0,139,0.785623275,6153,500871,158,699,35,94,118,5,0.071530758,0.185979971,0.268867924,0.320457796,0.511006289,8,1,171,0.831464085,158,699,35,94,118,5,0.071530758,0.185979971,0.268867924,0.320457796,0.511006289,8,1,171,0.831464085
"Mark Canha",2022,NYM,OAK,33,8.3,7,645,0,141,625,17,93,61,12,0.1232,0.2048,0.231213872,0.3584,0.387283236,9,2,120,0.745683236,11445,592192,126,497,26,80,58,3,0.134808853,0.21529175,0.273170731,0.396378269,0.51707317,10,2,112,0.913451439,126,497,26,80,58,3,0.134808853,0.21529175,0.273170731,0.396378269,0.51707317,10,2,112,0.913451439
"Starling Marte",2022,NYM,OAK,33,9.2,10,1134,0,120,526,12,89,55,47,0.081749049,0.188212927,0.310492505,0.382857142,0.458244111,6,5,145,0.841101253,9241,516782,132,586,23,97,82,25,0.042662116,0.160409556,0.294990723,0.342465753,0.502782931,15,6,159,0.845248684,132,586,23,97,82,25,0.042662116,0.160409556,0.294990723,0.342465753,0.502782931,15,6,159,0.845248684
