Name ,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
Jake Woodford,STL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jake Woodford,18674,663765
Kirby Snead,OAK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kirby Snead,19179,669912
Brandon Bielak,HOU,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brandon Bielak,19866,656232
Alex Faedo,DET,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alex Faedo,19874,656412
Zach Pop,TOR,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zach Pop,20185,647315
Matt Manning,DET,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt Manning,20369,666159
Tommy Doyle,COL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tommy Doyle,21281,656382
Cole Sands,MIN,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cole Sands,21461,663485
Sean Hjelle,SFG,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sean Hjelle,21481,663546
Tarik Skubal,DET,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tarik Skubal,22267,669373
Angel Zerpa,KCR,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angel Zerpa,22717,672582
Canaan Smith-Njigba,PIT,15,37,0,3,5,1,0.108108108,0.432432432,0.125,0.216216216,0.21875,1,0,4,0.434966216,Canaan Smith-Njigba,23264,675986
Ryan Weathers,- - -,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Weathers,23796,677960
Joey Ortiz,BAL,15,34,0,4,4,0,0,0.264705882,0.212121212,0.205882352,0.242424242,2,0,7,0.448306594,Joey Ortiz,25493,687401
Drey Jameson,ARI,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drey Jameson,26260,686753
Kyren Paris,LAA,15,46,0,4,1,3,0.086956521,0.369565217,0.1,0.2,0.1,0,0,4,0.3,Kyren Paris,26420,677347
Spencer Horwitz,TOR,15,44,1,5,7,0,0.09090909,0.272727272,0.256410256,0.34090909,0.384615384,1,0,10,0.725524474,Spencer Horwitz,26477,687462
David Hamilton,BOS,15,39,0,2,0,2,0.153846153,0.256410256,0.121212121,0.256410256,0.181818181,1,1,4,0.438228437,David Hamilton,27531,666152
Tommy Hunter,NYM,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tommy Hunter,1157,488984
Jeurys Familia,OAK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeurys Familia,5114,544727
Julio Teheran,MIL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julio Teheran,6797,527054
Zach Neal,OAK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zach Neal,11294,594943
Michael Kelly,CLE,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Kelly,12791,547184
Andrew Kittredge,TBR,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andrew Kittredge,12828,552640
Max Fried,ATL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Max Fried,13743,608331
Kevin Herget,CIN,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Herget,15369,643361
Carlos Rodón,NYY,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carlos Rodon,16137,607074
Luis F. Ortiz,PHI,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis F. Ortiz,16942,656814
Kyle Garlick,MIN,14,30,2,2,4,0,0.066666666,0.366666666,0.178571428,0.233333333,0.428571428,0,0,5,0.661904761,Kyle Garlick,18063,664247
James Kaprielian,OAK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Kaprielian,18331,621076
Pedro Avila,SDP,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pedro Avila,18864,658648
Yonny Hernández,LAD,14,27,0,5,4,0,0.074074074,0.296296296,0.136363636,0.23076923,0.181818181,0,0,3,0.412587411,Yonny Hernandez,19432,660634
Reiver Sanmartin,CIN,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reiver Sanmartin,19754,665665
Angel Felipe,OAK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Angel Felipe,21163,665734
Parker Mushinski,HOU,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Parker Mushinski,21324,656786
Hogan Harris,OAK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hogan Harris,21520,663687
